Date,Product,Units_Produced
2024-01-01,Milk,100
2024-01-02,Bread,200
2024-01-03,Eggs,150
2024-01-04,Apples,250
2024-01-05,Oranges,100
2024-01-06,Bananas,300
2024-01-07,Chicken,100
2024-01-08,Beef,200
2024-01-09,Pork,150
2024-01-10,Rice,250
2024-01-11,Pasta,100
2024-01-12,Bread,300
2024-01-13,Water,100
2024-01-14,Soft Drinks,200
2024-01-15,Tea,150
2024-01-16,Chips,250
2024-01-17,Salsa,100
2024-01-18,Guacamole,300
2024-01-19,Yogurt,100
2024-01-20,Cheese,200
2024-01-21,Milk,150
2024-01-22,Apples,250
2024-01-23,Oranges,100
2024-01-24,Bananas,300
2024-01-25,Chicken,100
2024-01-26,Beef,200
2024-01-27,Pork,150
2024-01-28,Rice,250
2024-01-29,Pasta,100
2024-01-30,Bread,300
